model,K,approximate_similarities,num_threads,k1,b,val_precision_10,val_recall_10,val_ndcg_10,val_combined
ItemKNN,10,True,4,,,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
ItemKNN,20,True,4,,,0.0,0.0,0.0,0.0
ItemKNN,30,True,4,,,0.0,0.0,0.0,0.0
ItemKNN,50,True,4,,,0.0,0.0,0.0,0.0
ItemKNN,10,True,8,,,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
ItemKNN,20,True,8,,,0.0,0.0,0.0,0.0
ItemKNN,30,True,8,,,0.0,0.0,0.0,0.0
ItemKNN,50,True,8,,,0.0,0.0,0.0,0.0
ItemKNN,10,False,4,,,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
ItemKNN,20,False,4,,,0.0,0.0,0.0,0.0
ItemKNN,30,False,4,,,0.0,0.0,0.0,0.0
ItemKNN,50,False,4,,,0.0,0.0,0.0,0.0
ItemKNN,10,False,8,,,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
ItemKNN,20,False,8,,,0.0,0.0,0.0,0.0
ItemKNN,30,False,8,,,0.0,0.0,0.0,0.0
ItemKNN,50,False,8,,,0.0,0.0,0.0,0.0
BM25,10,,8,0.5,0.5,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,0.5,0.75,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,0.5,1.0,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.0,0.5,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.0,0.75,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.0,1.0,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.5,0.5,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.5,0.75,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,1.5,1.0,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,2.0,0.5,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,2.0,0.75,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,10,,8,2.0,1.0,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
BM25,20,,8,0.5,0.5,0.0,0.0,0.0,0.0
BM25,20,,8,0.5,0.75,0.0,0.0,0.0,0.0
BM25,20,,8,0.5,1.0,0.0,0.0,0.0,0.0
BM25,20,,8,1.0,0.5,0.0,0.0,0.0,0.0
BM25,20,,8,1.0,0.75,0.0,0.0,0.0,0.0
BM25,20,,8,1.0,1.0,0.0,0.0,0.0,0.0
BM25,20,,8,1.5,0.5,0.0,0.0,0.0,0.0
BM25,20,,8,1.5,0.75,0.0,0.0,0.0,0.0
BM25,20,,8,1.5,1.0,0.0,0.0,0.0,0.0
BM25,20,,8,2.0,0.5,0.0,0.0,0.0,0.0
BM25,20,,8,2.0,0.75,0.0,0.0,0.0,0.0
BM25,20,,8,2.0,1.0,0.0,0.0,0.0,0.0
BM25,30,,8,0.5,0.5,0.0,0.0,0.0,0.0
BM25,30,,8,0.5,0.75,0.0,0.0,0.0,0.0
BM25,30,,8,0.5,1.0,0.0,0.0,0.0,0.0
BM25,30,,8,1.0,0.5,0.0,0.0,0.0,0.0
BM25,30,,8,1.0,0.75,0.0,0.0,0.0,0.0
